고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0103,366,365,0.9992030965391621,0.9985159817351598,Y
M0104,366,365,0.9985200364298725,0.9984018264840183,Y
M0105,366,365,0.9985200364298725,0.9985159817351598,Y
M0106,315,354,0.9183862433862434,0.9565677966101694,N
M0107,366,310,0.9989754098360656,0.9974462365591398,N
M0108,366,359,0.9956739526411658,0.9032033426183844,N
M0109,366,365,0.998747723132969,0.9982876712328768,Y
M0110,366,365,0.9990892531876139,0.9987442922374429,Y
M0111,366,365,0.9988615664845173,0.9963470319634703,Y
M0112,320,353,0.9567708333333333,0.9228045325779037,N
M0113,366,365,0.9912340619307832,1.0,N
M0114,366,365,1.0,1.0,Y
M0115,366,365,0.998747723132969,0.9800228310502284,N
M0116,366,365,0.9992030965391621,0.9994292237442922,Y
M0117,366,365,0.9992030965391621,0.9994292237442922,Y
M0118,366,365,0.9976092896174863,0.9980593607305936,Y
M0119,366,365,0.9989754098360656,0.9981735159817352,Y
M0120,315,365,0.9964285714285714,0.9984018264840183,N
M0121,366,365,0.998747723132969,0.9984018264840183,Y
M0122,96,365,0.9796006944444444,0.9971461187214612,N
M0123,366,365,0.9988615664845173,0.9984018264840183,Y
M0124,91,365,0.9913003663003663,0.9970319634703196,N
M0125,366,365,0.9988615664845173,0.9986301369863013,Y
M0126,366,365,0.9981785063752276,0.9984018264840183,Y
M0127,366,365,0.9989754098360656,0.9984018264840183,Y
M0128,366,324,0.9990892531876139,0.9957561728395061,N
M0129,366,348,0.9993169398907104,0.9964080459770115,N
M0130,366,365,0.9979508196721312,0.9976027397260274,Y
M0131,366,365,0.9970400728597449,0.993607305936073,N
M0132,366,365,0.9985200364298725,0.9978310502283105,Y
M0133,366,365,0.9989754098360656,0.9995433789954338,Y
M0134,281,365,0.9954033214709371,0.9984018264840183,N
M0135,366,365,0.9988615664845173,0.9980593607305936,Y
M0136,366,365,0.9962431693989071,0.9970319634703196,Y
M0137,366,365,0.9992030965391621,0.9986301369863013,Y
M0138,366,365,0.9990892531876139,0.9984018264840183,Y
M0139,366,365,0.9989754098360656,0.9981735159817352,Y
M0140,335,365,0.9960199004975124,0.9982876712328768,N
M0141,328,365,0.9968241869918699,0.9994292237442922,N
M0142,366,242,0.9992030965391621,0.993801652892562,N
M0143,366,365,0.9985200364298725,0.9976027397260274,Y
M0144,366,350,0.9985200364298725,0.9955952380952381,N
M0145,141,365,0.9932033096926713,0.9971461187214612,N
M0146,366,365,0.998747723132969,0.9984018264840183,Y
